Point_Code,Page_Number,Text_Snippet,Image_File
BL-1,92,"Figure 11 20. LI20 Yingxiang Welcome Fragrance (迎香) (Figure 11) Location: On the outer border of the ala nasi, in the nasolabial groove. Acupoint anatomy: Skin - subcutaneous tissue – second branch of the trigeminal nerve – nasalis and levator labii superioris - branches of the facial arteries and v...",/images_acupoints/BL_1_page91.jpeg
BL-10,160,"acupoint on both sides. Indications: Neck and nape stiffness with an inability to turn the head and look behind, headaches, dizziness, nasal congestion, nosebleeds, and deep-source nasal congestion. 8. BL8 Luoque Declining Connection (絡卻) (Figure 43) Location: At 1 cun and 5 fens behind tongtian Cel...",/images_acupoints/GV_17_fullpage_159.png
BL-11,150,"7 cun laterally. Palpate this area with the finger to locate the acupoint in the center of the depression on the superior border of the scapula. Indications: Neck stiffness with an inability to turn the head and look behind; shoulder and back pain with an inability to raise relevant areas; soreness,...",/images_acupoints/SI_13_fullpage_149.png
BL-12,162,"10. BL10 Tianzhu Celestial Pillar (天柱) (Figure 43) Location: At 1 cun 3 fen lateral to yamen Mute's Gate (GV-15) along the lateral border of the tendon of the trapezius. Acupoint anatomy: Skin - subcutaneous tissue - superficial cervical fascia - branch of the greater occipital nerve, third occipita...",/images_acupoints/GV_24_fullpage_161.png
BL-13,163,"Acupoint anatomy: Skin - subcutaneous tissue - medial cutaneous branch of the thoracic nerve, branch of the accessory nerve, and the dorsal scapular nerve - dorsal branch of posterior intercostal arteries and the transverse cervical artery and vein - trapezius, rhomboid, serratus posterior superior,...",/images_acupoints/BL_13_fullpage_162.png
BL-14,165,"14. BL14 Jueyinshu Reverting Yin Transport (厥陰俞) (Figure 44) Location: Inferior to the fourth vertebra in the back 1 cun and 5 fens lateral to the spine on both sides. Acupoint anatomy: Skin - subcutaneous tissue - medial cutaneous branch of the thoracic nerve, branch of the accessory nerve, and the...",/images_acupoints/GV_11_fullpage_164.png
BL-15,165,"14. BL14 Jueyinshu Reverting Yin Transport (厥陰俞) (Figure 44) Location: Inferior to the fourth vertebra in the back 1 cun and 5 fens lateral to the spine on both sides. Acupoint anatomy: Skin - subcutaneous tissue - medial cutaneous branch of the thoracic nerve, branch of the accessory nerve, and the...",/images_acupoints/GV_11_fullpage_164.png
BL-16,165,"14. BL14 Jueyinshu Reverting Yin Transport (厥陰俞) (Figure 44) Location: Inferior to the fourth vertebra in the back 1 cun and 5 fens lateral to the spine on both sides. Acupoint anatomy: Skin - subcutaneous tissue - medial cutaneous branch of the thoracic nerve, branch of the accessory nerve, and the...",/images_acupoints/GV_11_fullpage_164.png
BL-17,166,"trapezius and erector spinae muscles. Locating the acupoint: With the patient sitting upright, locate the acupoint at 1 cun and 5 fens lateral to the spine below the sixth vertebra on both sides, or 1 cun and 5 fens lateral to lingtai spirit tower (GV-10). Indications: Chills and fever, heart pain, ...",/images_acupoints/GV_10_fullpage_165.png
BL-18,166,"trapezius and erector spinae muscles. Locating the acupoint: With the patient sitting upright, locate the acupoint at 1 cun and 5 fens lateral to the spine below the sixth vertebra on both sides, or 1 cun and 5 fens lateral to lingtai spirit tower (GV-10). Indications: Chills and fever, heart pain, ...",/images_acupoints/GV_10_fullpage_165.png
